GEOID,NAME,total_population,total_poverty,percent_poverty
06001401400,"Census Tract 4014, Alameda County, California",4190,1685,0.4021479713603819
06001401800,"Census Tract 4018, Alameda County, California",1947,725,0.37236774524910116
06001402500,"Census Tract 4025, Alameda County, California",1907,945,0.49554273728369164
06001402600,"Census Tract 4026, Alameda County, California",1234,528,0.42787682333873583
06001402800,"Census Tract 4028, Alameda County, California",3520,1515,0.4303977272727273
06001406000,"Census Tract 4060, Alameda County, California",3472,1244,0.358294930875576
06001406202,"Census Tract 4062.02, Alameda County, California",4666,1730,0.3707672524646378
06001407101,"Census Tract 4071.01, Alameda County, California",3755,1484,0.3952063914780293
06001407200,"Census Tract 4072, Alameda County, California",6565,2317,0.3529322162985529
06001408400,"Census Tract 4084, Alameda County, California",3517,1288,0.3662212112595962
06001408800,"Census Tract 4088, Alameda County, California",6370,2245,0.35243328100470955
06001408900,"Census Tract 4089, Alameda County, California",3228,1595,0.4941140024783148
06001410500,"Census Tract 4105, Alameda County, California",2321,926,0.3989659629470056
06001422900,"Census Tract 4229, Alameda County, California",4525,1935,0.4276243093922652
06001423602,"Census Tract 4236.02, Alameda County, California",5841,3287,0.5627461051189865
06007000502,"Census Tract 5.02, Butte County, California",4282,2534,0.5917795422699673
06007000604,"Census Tract 6.04, Butte County, California",4464,2513,0.5629480286738351
06007001100,"Census Tract 11, Butte County, California",3914,1840,0.4701073071027082
06007001200,"Census Tract 12, Butte County, California",3207,1248,0.3891487371375117
06007001300,"Census Tract 13, Butte County, California",4091,1811,0.4426790515766316
06007002800,"Census Tract 28, Butte County, California",3987,1467,0.36794582392776526
06007003001,"Census Tract 30.01, Butte County, California",3657,1598,0.4369701941482089
06007003002,"Census Tract 30.02, Butte County, California",3583,1331,0.3714764164108289
06013312000,"Census Tract 3120, Contra Costa County, California",2263,813,0.3592576226248343
06013336202,"Census Tract 3362.02, Contra Costa County, California",6344,2350,0.37042875157629257
06019000200,"Census Tract 2, Fresno County, California",3255,1782,0.5474654377880185
06019000300,"Census Tract 3, Fresno County, California",3238,1798,0.5552810376775787
06019000400,"Census Tract 4, Fresno County, California",5878,2956,0.502892140183736
06019000501,"Census Tract 5.01, Fresno County, California",2548,1309,0.5137362637362637
06019000502,"Census Tract 5.02, Fresno County, California",3353,1237,0.3689233522218908
06019000600,"Census Tract 6, Fresno County, California",5223,3353,0.6419682174995214
06019000700,"Census Tract 7, Fresno County, California",3902,1519,0.38928754484879546
06019000800,"Census Tract 8, Fresno County, California",1123,569,0.5066785396260017
06019000901,"Census Tract 9.01, Fresno County, California",3105,1378,0.44380032206119163
